name,code,country,us-census
Alabama,AL,US,1
Alaska,AK,US,2
Arizona,AZ,US,4
Arkansas,AR,US,5
California,CA,US,6
Colorado,CO,US,8
Connecticut,CT,US,9
Delaware,DE,US,10
Florida,FL,US,12
Georgia,GA,US,13
Hawaii,HI,US,15
Idaho,ID,US,16
Illinois,IL,US,17
Indiana,IN,US,18
Iowa,IA,US,19
Kansas,KS,US,20
Kentucky,KY,US,21
Louisiana,LA,US,22
Maine,ME,US,23
Maryland,MD,US,24
Massachusetts,MA,US,25
Michigan,MI,US,26
Minnesota,MN,US,27
Mississippi,MS,US,28
Missouri,MO,US,29
Montana,MT,US,30
Nebraska,NE,US,31
Nevada,NV,US,32
New Hampshire,NH,US,33
New Jersey,NJ,US,34
New Mexico,NM,US,35
New York,NY,US,36
North Carolina,NC,US,37
North Dakota,ND,US,38
Ohio,OH,US,39
Oklahoma,OK,US,40
Oregon,OR,US,41
Pennsylvania,PA,US,42
Rhode Island,RI,US,44
South Carolina,SC,US,45
South Dakota,SD,US,46
Tennessee,TN,US,47
Texas,TX,US,48
Utah,UT,US,49
Vermont,VT,US,50
Virginia,VA,US,51
Washington,WA,US,53
West Virginia,WV,US,54
Wisconsin,WI,US,55
Wyoming,WY,US,56
Washington DC,DC,US,11
Guam,GU,US,66
Puerto Rico,PR,US,72
Alberta,AB,CN
British Columbia,BC,CN
Manitoba,MB,CN
New Brunswick,NB,CN
Newfoundland and Labrador,NL,CN
Nova Scotia,NS,CN
Ontario,ON,CN
Prince Edward Island,PE,CN
Quebec,QC,CN
Saskatchewan,SK,CN
New South Wales,NSW,AU
South Australia,SA,AU
Queensland,QLD,AU
Victoria,VIC,AU
Tasmania,TAS,AU
Western Australia,WA,AU
